User,STweekDay,STdateOnly,SThourOfDay,actID,activityName,stTS,distInMPrev,durInSecPrev,SMinsSinceMidnight,durationInSeconds,ETweekDay,ETdateOnly,EThourOfDay
0,4,2014-01-09,14,0,Others,2014-01-09T14:23:27Z,0,-9999,863,9,4,2014-01-09,14
0,4,2014-01-09,14,5,Housework,2014-01-09T14:23:36Z,0,0,863,142,4,2014-01-09,14
0,4,2014-01-09,14,0,Others,2014-01-09T14:25:58Z,0,0,865,475,4,2014-01-09,14
0,4,2014-01-09,14,1,Commuting,2014-01-09T14:33:53Z,0,0,873,465,4,2014-01-09,14
0,4,2014-01-09,14,0,Others,2014-01-09T14:41:38Z,0,0,881,557,4,2014-01-09,14
0,4,2014-01-09,14,2,Computer,2014-01-09T14:50:55Z,0,0,890,2576,4,2014-01-09,15
0,4,2014-01-09,15,0,Others,2014-01-09T15:33:51Z,0,0,933,139,4,2014-01-09,15
0,4,2014-01-09,15,2,Computer,2014-01-09T15:36:10Z,0,0,936,3720,4,2014-01-09,16
0,4,2014-01-09,16,0,Others,2014-01-09T16:38:10Z,0,0,998,72,4,2014-01-09,16
0,4,2014-01-09,16,2,Computer,2014-01-09T16:39:22Z,0,0,999,71,4,2014-01-09,16
0,4,2014-01-09,16,0,Others,2014-01-09T16:40:33Z,0,0,1000,348,4,2014-01-09,16
0,4,2014-01-09,16,2,Computer,2014-01-09T16:46:21Z,0,0,1006,69,4,2014-01-09,16
0,4,2014-01-09,16,0,Others,2014-01-09T16:47:30Z,0,0,1007,108,4,2014-01-09,16
0,4,2014-01-09,16,2,Computer,2014-01-09T16:49:18Z,0,0,1009,139,4,2014-01-09,16
0,4,2014-01-09,16,0,Others,2014-01-09T16:51:37Z,0,0,1011,211,4,2014-01-09,16
0,4,2014-01-09,16,2,Computer,2014-01-09T16:55:08Z,0,0,1015,346,4,2014-01-09,17
0,4,2014-01-09,17,0,Others,2014-01-09T17:00:54Z,0,0,1020,140,4,2014-01-09,17
0,4,2014-01-09,17,2,Computer,2014-01-09T17:03:14Z,0,0,1023,1067,4,2014-01-09,17
0,4,2014-01-09,17,0,Others,2014-01-09T17:21:01Z,0,0,1041,68,4,2014-01-09,17
0,4,2014-01-09,17,2,Computer,2014-01-09T17:22:09Z,0,0,1042,73,4,2014-01-09,17
0,4,2014-01-09,17,0,Others,2014-01-09T17:23:22Z,0,0,1043,74,4,2014-01-09,17
