User,Date,NumOfActsInDay
29,2009-03-15,10
29,2009-03-17,17
29,2009-03-25,19
29,2009-03-26,11
29,2009-03-28,19
29,2009-03-29,17
29,2009-04-03,8
29,2009-04-08,25
29,2009-04-09,10
29,2009-04-19,11
29,2009-04-25,12
29,2009-04-26,9
29,2009-05-10,6
29,2009-05-12,7
29,2009-05-14,12
29,2009-05-15,14
29,2009-05-25,6
29,2009-05-27,5
29,2009-05-29,9
29,2009-06-02,7
29,2009-06-06,6
29,2009-06-07,10
29,2009-06-09,27
29,2009-06-12,4
29,2009-06-14,7
29,2009-06-17,11
29,2009-06-22,14
29,2009-06-25,51
29,2009-06-30,10
29,2009-07-09,11
29,2009-07-11,13
29,2009-07-12,14
29,2009-07-15,13
29,2009-07-22,16
29,2009-07-23,31
29,2009-07-26,38
29,2009-08-17,12
29,2009-08-25,15
29,2009-08-27,17
29,2009-08-28,18
29,2009-09-01,12
29,2009-09-02,10
29,2009-09-03,10
29,2009-09-23,37
29,2009-09-24,16
29,2009-09-25,12
29,2009-10-01,6
29,2009-10-05,8
29,2009-10-06,13
29,2009-10-08,11
29,2009-10-14,19
29,2009-10-21,9
29,2009-10-30,10
29,2009-11-10,13
29,2009-11-12,9
29,2009-11-23,12
29,2009-11-24,14
29,2009-11-30,10
29,2009-12-01,8
29,2009-12-07,22
29,2009-12-12,13
29,2009-12-15,11
29,2009-12-16,12
29,2009-12-17,11
29,2010-01-06,9
29,2010-01-15,25
29,2010-01-16,18
29,2010-01-27,19
29,2010-02-02,14
29,2010-02-05,10
29,2010-02-07,14
29,2010-02-08,9
29,2010-02-09,16
29,2010-03-02,10
29,2010-03-12,7
29,2010-03-13,6
29,2010-03-14,8
29,2010-03-16,5
29,2010-03-18,9
29,2010-03-24,10
29,2010-04-09,14
29,2010-04-10,15
29,2010-04-25,5
29,2010-05-08,10
29,2010-06-18,23
29,2010-06-19,17
29,2010-07-22,6
29,2010-07-23,9
29,2010-09-23,16
29,2010-10-02,11
29,2011-01-18,9
29,2011-01-28,10
40,2009-03-13,6
40,2009-03-15,12
40,2009-04-03,12
40,2009-04-05,11
40,2009-04-07,17
40,2009-04-19,11
40,2009-04-30,4
40,2009-05-14,23
40,2009-05-24,11
40,2009-06-14,18
40,2009-06-17,11
40,2009-06-21,14
40,2009-07-18,17
40,2009-08-02,16
40,2009-08-03,14
40,2009-08-23,35
